"duplicate_group_key","duplicate_type","word_id","term","translation","from_lang","to_lang","current_category_names","current_level","current_tags","proposed_action","keep_word_id","notes"
"adjective|en|de","term/from_lang/to_lang","969a31a5-c475-4ec9-b62f-b55829f5b669","adjective","adjektiv","en","de","Grammar & Syntax","A2","","","",""
"adjective|en|de","term/from_lang/to_lang","f91f2280-02de-4ffa-82dc-bd442443a67a","ADJECTIVE","ADJEKTIV","en","de","C2","C2","","","",""
"adverb|en|de","term/from_lang/to_lang","8f1acc1f-759c-4615-9110-73304615a149","adverb","adverb","en","de","Grammar & Syntax","A2","","","",""
"adverb|en|de","term/from_lang/to_lang","a74186e3-cf89-421c-8837-e900c568932b","ADVERB","ADVERB","en","de","C2","C2","","","",""
"behind|en|de","term/from_lang/to_lang","3d018bfe-bd5d-4ba2-a448-6a92f54eb7bb","behind","hinter","EN","DE","Productivity","","","","",""
"behind|en|de","term/from_lang/to_lang","857507cd-ca70-4a7d-bc5f-66dc09e7f648","behind","hinter","en","de","A1","A1","","","",""
"dash|en|de","term/from_lang/to_lang","0a29d3d0-ad57-4c78-94b7-ad6d603915c0","dash","Bindestrich","EN","DE","Productivity","","","","",""
"dash|en|de","term/from_lang/to_lang","e09286d3-351c-4f04-a14a-b7d851c25713","dash","bindestrich","en","de","C2","C2","","","",""
"entire|en|de","term/from_lang/to_lang","37a99d9c-9192-44ce-83b9-08eee8bca169","entire","gesamte","EN","DE","Productivity","","","","",""
"entire|en|de","term/from_lang/to_lang","2a5d060a-cddf-4a67-8ce7-a21367c00fe1","entire","gesamte","en","de","B2","B2","","","",""
"friday|en|de","term/from_lang/to_lang","b55a6414-ed80-41ad-b963-f409eeb457d4","friday","freitag","en","de","Top 500 Words","A1","","","",""
"friday|en|de","term/from_lang/to_lang","e7f53ea2-1273-4091-923d-74b4b9b7ab53","Friday","Freitag","en","de","A1","A1","","","",""
"incident|en|de","term/from_lang/to_lang","8b48b271-2a4e-472e-a0d1-99c142cdc1ab","incident","Vorfall","EN","DE","","","","","",""
"incident|en|de","term/from_lang/to_lang","f054cac4-7825-4d46-975e-ca008040a3ee","incident","Störung/Vorfall","en","de","B2; Work & Careers","B1","","","",""
"interview|en|de","term/from_lang/to_lang","1aff8ead-820c-447c-9dc9-fe5981d91412","interview","Interview","EN","DE","Productivity","","","","",""
