"candidate_id","candidate_text","candidate_translation","target_from_lang","target_to_lang","conflicting_id","conflicting_text","conflicting_translation","conflict_type","proposed_action","keep_word_id","notes"
"0003d2c4-9558-42b6-bf79-aa099e3f4701","approached","näherte sich","en","de","","","","","","",""
"42cba640-454e-447b-b0e0-e5a44f8968c7","asked","fragte","en","de","","","","","","",""
"3d018bfe-bd5d-4ba2-a448-6a92f54eb7bb","behind","hinter","en","de","","","","","","",""
"b4b7f57d-f73a-492a-a693-63110229f7d7","buried","begraben","en","de","","","","","","",""
"577f310a-1c4b-4e42-a925-187ba159394a","cities","Städte","en","de","","","","","","",""
"0febef01-f685-4c8b-8826-af7753746fa3","confiscation","Beschlagnahmung","en","de","","","","","","",""
"8915c19f-b3b8-44f6-a63c-6adea030086a","countries","Länder","en","de","","","","","","",""
"0a29d3d0-ad57-4c78-94b7-ad6d603915c0","dash","Bindestrich","en","de","","","","","","",""
"297c7517-c6ea-4340-9601-6405ee65d654","destroyed","zerstört","en","de","","","","","","",""
"37a99d9c-9192-44ce-83b9-08eee8bca169","entire","gesamte","en","de","","","","","","",""
"715a3af7-0244-4fff-a382-6ae153c66b0c","graves","Gräber","en","de","","","","","","",""
"8b48b271-2a4e-472e-a0d1-99c142cdc1ab","incident","Vorfall","en","de","","","","","","",""
"1aff8ead-820c-447c-9dc9-fe5981d91412","interview","Interview","en","de","","","","","","",""
"0c165b4c-2afb-4861-ac60-75bf59a8611b","move","umziehen","en","de","","","","","","",""
"ac426143-a234-4394-b48a-0928e6489b6c","reefs","Riffe","en","de","","","","","","",""
"31b9fd7e-fbbf-44fa-af67-40c66144f843","report","Bericht","en","de","","","","","","",""
"32464b29-fec5-4fd3-ba25-a873e3b0f8eb","satellite","Satellit","en","de","","","","","","",""
"9dea269e-4638-47bc-b4c9-3ca0c7e21733","seized","beschlagnahmt","en","de","","","","","","",""
"87e752ea-e944-469a-ad9e-9037a79ee7d5","serving","unter","en","de","","","","","","",""
"66d4eaa9-66d7-47fb-a8e6-58e14823e1a2","sites","Standorte","en","de","","","","","","",""
"61ca2b4e-332c-4a20-82a8-76e962482f15","sold","verkauft","en","de","","","","","","",""
"fd72add0-6144-4b98-bc52-4a737434c4ac","soldiers","Soldaten","en","de","","","","","","",""
"094a3407-d275-4ea9-ad89-198218618dcf","stationery","Schreibwaren","en","de","","","","","","",""
"2a7e4ef2-4585-4b25-9c63-d81bc694cce5","superstar","Superstar","en","de","","","","","","",""
"6a6e9ac6-ddc4-4ee0-a6a6-51d8ad8edf3f","throughout","durchgehend","en","de","","","","","","",""
